CHAVEAMENTOS: 16389
TME: 7344.40
TMR: 26475.10
VAZAO: 0.049879
TERMINO: t1 t2 t3
DIAGRAMA DE EVENTOS
0 1000 CRIAÇÃO
0 1000 EXEC
10 1000 QUANTUM_EX
20 1000 QUANTUM_EX
30 1000 QUANTUM_EX
40 1000 QUANTUM_EX
50 1000 QUANTUM_EX
60 1000 QUANTUM_EX
70 1000 QUANTUM_EX
80 1000 QUANTUM_EX
90 1000 QUANTUM_EX
100 1000 QUANTUM_EX
110 1000 QUANTUM_EX
120 1000 QUANTUM_EX
130 1000 QUANTUM_EX
140 1000 QUANTUM_EX
150 1000 QUANTUM_EX
160 1000 QUANTUM_EX
170 1000 QUANTUM_EX
180 1000 QUANTUM_EX
190 1000 QUANTUM_EX
200 1000 QUANTUM_EX
210 1000 QUANTUM_EX
220 1000 QUANTUM_EX
230 1000 QUANTUM_EX
240 1000 QUANTUM_EX
250 1000 QUANTUM_EX
260 1000 QUANTUM_EX
270 1000 QUANTUM_EX
280 1000 QUANTUM_EX
290 1000 QUANTUM_EX
300 1000 QUANTUM_EX
310 1000 QUANTUM_EX
320 1000 QUANTUM_EX
330 1000 QUANTUM_EX
340 1000 QUANTUM_EX
350 1000 QUANTUM_EX
360 1000 QUANTUM_EX
370 1000 QUANTUM_EX
380 1000 QUANTUM_EX
390 1000 QUANTUM_EX
400 1000 QUANTUM_EX
410 1000 QUANTUM_EX
420 1000 QUANTUM_EX
430 1000 QUANTUM_EX
440 1000 QUANTUM_EX
450 1000 QUANTUM_EX
460 1000 QUANTUM_EX
470 1000 QUANTUM_EX
480 1000 QUANTUM_EX
490 1000 QUANTUM_EX
500 1000 QUANTUM_EX
510 1000 QUANTUM_EX
520 1000 QUANTUM_EX
530 1000 QUANTUM_EX
540 1000 QUANTUM_EX
550 1000 QUANTUM_EX
560 1000 QUANTUM_EX
570 1000 QUANTUM_EX
580 1000 QUANTUM_EX
590 1000 QUANTUM_EX
600 1000 QUANTUM_EX
610 1000 QUANTUM_EX
620 1000 QUANTUM_EX
630 1000 QUANTUM_EX
640 1000 QUANTUM_EX
650 1000 QUANTUM_EX
660 1000 QUANTUM_EX
670 1000 QUANTUM_EX
680 1000 QUANTUM_EX
690 1000 QUANTUM_EX
700 1000 QUANTUM_EX
710 1000 QUANTUM_EX
720 1000 QUANTUM_EX
730 1000 QUANTUM_EX
740 1000 QUANTUM_EX
750 1000 QUANTUM_EX
760 1000 QUANTUM_EX
770 1000 QUANTUM_EX
780 1000 QUANTUM_EX
790 1000 QUANTUM_EX
800 1000 QUANTUM_EX
810 1000 QUANTUM_EX
820 1000 QUANTUM_EX
830 1000 QUANTUM_EX
840 1000 QUANTUM_EX
850 1000 QUANTUM_EX
860 1000 QUANTUM_EX
870 1000 QUANTUM_EX
880 1000 QUANTUM_EX
890 1000 QUANTUM_EX
900 1000 QUANTUM_EX
910 1000 QUANTUM_EX
920 1000 QUANTUM_EX
930 1000 QUANTUM_EX
940 1000 QUANTUM_EX
950 1000 QUANTUM_EX
960 1000 QUANTUM_EX
970 1000 QUANTUM_EX
980 1000 QUANTUM_EX
990 1000 QUANTUM_EX
1000 1000 QUANTUM_EX
1010 1000 QUANTUM_EX
1020 1000 QUANTUM_EX
1030 1000 QUANTUM_EX
1040 1000 QUANTUM_EX
1050 1000 QUANTUM_EX
1060 1000 QUANTUM_EX
1070 1000 QUANTUM_EX
1080 1000 QUANTUM_EX
1090 1000 QUANTUM_EX
1100 1000 QUANTUM_EX
1110 1000 QUANTUM_EX
1120 1000 QUANTUM_EX
1130 1000 QUANTUM_EX
1140 1000 QUANTUM_EX
1150 1000 QUANTUM_EX
1160 1000 QUANTUM_EX
1170 1000 QUANTUM_EX
1180 1000 QUANTUM_EX
1190 1000 QUANTUM_EX
1200 1000 QUANTUM_EX
1210 1000 QUANTUM_EX
1220 1000 QUANTUM_EX
1230 1000 QUANTUM_EX
1240 1000 QUANTUM_EX
1250 1000 QUANTUM_EX
1260 1000 QUANTUM_EX
1270 1000 QUANTUM_EX
1280 1000 QUANTUM_EX
1290 1000 QUANTUM_EX
1300 1000 QUANTUM_EX
1310 1000 QUANTUM_EX
1320 1000 QUANTUM_EX
1330 1000 QUANTUM_EX
1340 1000 QUANTUM_EX
1350 1000 QUANTUM_EX
1357 1001 CRIAÇÃO
1360 1000 QUANTUM_EX
1360 1001 EXEC
1370 1001 QUANTUM_EX
1370 1000 EXEC
1380 1000 QUANTUM_EX
1380 1001 EXEC
1390 1001 QUANTUM_EX
1390 1000 EXEC
1400 1000 QUANTUM_EX
1400 1001 EXEC
1410 1001 QUANTUM_EX
1410 1000 EXEC
1420 1000 QUANTUM_EX
1420 1001 EXEC
1430 1001 QUANTUM_EX
1430 1000 EXEC
1440 1000 QUANTUM_EX
1440 1001 EXEC
1450 1001 QUANTUM_EX
1450 1000 EXEC
1460 1000 QUANTUM_EX
1460 1001 EXEC
1470 1001 QUANTUM_EX
1470 1000 EXEC
1480 1000 QUANTUM_EX
1480 1001 EXEC
1490 1001 QUANTUM_EX
1490 1000 EXEC
1500 1000 QUANTUM_EX
1500 1001 EXEC
1510 1001 QUANTUM_EX
1510 1000 EXEC
1520 1000 QUANTUM_EX
1520 1001 EXEC
1530 1001 QUANTUM_EX
1530 1000 EXEC
1540 1000 QUANTUM_EX
1540 1001 EXEC
1550 1001 QUANTUM_EX
1550 1000 EXEC
1560 1000 QUANTUM_EX
1560 1001 EXEC
